排名,电影名,评分,评价人数,导演,年份,国家,链接
172,谍影重重3,8.9,未知,保罗·格林格拉斯 Paul Greengrass,未知,未知,https://movie.douban.com/subject/1578507/
173,三块广告牌,8.7,未知,马丁·麦克唐纳 Martin McDonagh,未知,未知,https://movie.douban.com/subject/26611804/
174,无间道2,8.8,未知,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,未知,未知,https://movie.douban.com/subject/1307106/
175,电锯惊魂,8.7,未知,詹姆斯·温 James Wan,未知,未知,https://movie.douban.com/subject/1417598/
176,达拉斯买家俱乐部,8.8,未知,让-马克·瓦雷 Jean-Marc Vallée,未知,未知,https://movie.douban.com/subject/1793929/
177,疯狂原始人,8.7,未知,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,未知,未知,https://movie.douban.com/subject/1907966/
178,绿里奇迹,8.9,未知,弗兰克·德拉邦特 Frank Darabont,未知,未知,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,8.8,未知,理查德·林克莱特 Richard Linklater,未知,未知,https://movie.douban.com/subject/10808442/
180,疯狂的石头,8.6,未知,宁浩 Hao Ning,未知,未知,https://movie.douban.com/subject/1862151/
181,雨中曲,9.1,未知,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,未知,未知,https://movie.douban.com/subject/1293460/
182,2001太空漫游,8.9,未知,斯坦利·库布里克 Stanley Kubrick,未知,未知,https://movie.douban.com/subject/1292226/
183,海街日记,8.8,未知,是枝裕和 Hirokazu Koreeda,未知,未知,https://movie.douban.com/subject/25895901/
184,上帝之城,9.0,未知,"费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...
                            2002 / 巴西 法国 / 犯罪 剧情",未知,未知,https://movie.douban.com/subject/1292208/
185,心迷宫,8.7,未知,忻钰坤 Yukun Xin,未知,未知,https://movie.douban.com/subject/25917973/
186,风之谷,8.9,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1291585/
187,记忆碎片,8.7,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/1304447/
188,英雄本色,8.6,未知,吴宇森 John Woo,未知,未知,https://movie.douban.com/subject/1297574/
